STATE,Flip Points
CD-1,100.0
CD-2,100.0
North Dakota,78.125
Pennsylvania,75.0
Wisconsin,75.0
Michigan,75.0
Tennessee,65.625
Arizona,59.375
Vermont,56.25
South Carolina,56.25
Georgia,50.0
Connecticut,50.0
Oklahoma,50.0
California,50.0
Oregon,43.75
Iowa,34.375
Florida,31.25
Ohio,31.25
North Carolina,18.75
Indiana,12.5
New Mexico,9.375
Maryland,9.375
Dist. of Col.,6.25
Colorado,6.25
Nevada,6.25
Virginia,6.25
Alaska,3.125
Massachusetts,3.125
New Hampshire,3.125
Louisiana,3.125
Kentucky,3.125
Alabama,3.125
Utah,0.0
Texas,0.0
Rhode Island,0.0
Washington,0.0
South Dakota,0.0
West Virginia,0.0
Minnesota,0.0
New York,0.0
New Jersey,0.0
Nebraska,0.0
Montana,0.0
Missouri,0.0
Mississippi,0.0
Maine,0.0
Kansas,0.0
Illinois,0.0
Idaho,0.0
Hawaii,0.0
District of Columbia,0.0
Delaware,0.0
CD-3,0.0
Arkansas,0.0
Wyoming,0.0
